Type,Point.Pattern,Xcoords,Ycoords,npoints
Critical,CROWN,"596,743,466,681,800,527,391","140,144,147,298,286,302,306",7
Critical,EYE,"598,527,668,619,557,420,792","207,257,258,328,324,263,266",7
Critical,HAND,"522,591,661,717,644,786,535,533,606,701,793","227,214,224,257,436,385,418,113,67,57,109",11
Critical,PEACOCK,"600,599,810,790,790,716,628,532,473,433,416","342,306,272,213,213,151,121,129,170,223,299",11
Critical,SCISSORS,"601,636,666,554,524,559,655","301,193,227,199,226,397,394",7
Critical,SNAIL,"482,490,561,666,690,626,564,580,614","340,263,213,232,312,349,316,271,287",9
Critical,TROUSERS,"601,542,674,744,652,558,471","300,195,197,429,434,430,413",7
Critical,WINDMILL,"596,509,725,423,400,817,820","218,495,502,331,147,323,121",7
Training,ANCHOR,"600,597,598,599,544,661,662,729,526,476","299,414,175,103,174,175,411,357,410,336",10
Training,BIRD,"767,713,640,537,458,619,680,633,721","287,236,265,269,287,152,80,367,441",9
Training,BOWL,"597,689,748,760,484,437,425,596","423,392,321,235,396,315,219,227",8
Training,BUCKET,"492,727,673,549","193,193,392,388",4
Training,CATAPULT,"601,679,521,602","302,200,202,429",4
Training,CHAIR,"538,674,683,705,525","301,303,136,431,428",5
Training,EAR,"524,590,698,732,663,625,556","221,152,190,294,379,448,458",7
Training,ELEPHANT,"431,449,525,605,655,691,741,753,804,817","345,259,199,218,251,219,261,308,283,208",10
Training,HORSE,"529,669,706,439,467,399,480","243,277,396,365,139,169,179",7
Training,HOURGLASS,"599,645,683,697,539,501,487,551,504,468,656,720,750,611,586","298,269,214,106,267,211,106,340,396,495,352,409,508,510,106",15
Training,HOUSE,"503,721,721,497,611","427,426,245,240,112",5
Training,RAINBOW,"602,523,468,444,684,750,771","185,208,261,350,212,267,359",7
Training,SEAHORSE,"488,488,536,600,654,700,683,631,632,680","186,212,174,125,186,269,367,423,486,491",10
Training,STARFISH,"603,597,464,732,695,508","302,173,261,242,419,420",6
Training,SWORD,"514,684,465,560,458","378,212,329,432,422",5
Training,UMBRELLA,"598,502,425,719,790,600,600","127,149,239,177,240,243,438",7